Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR12873197_2	(1.0, 4.177644799714196)	(2.0, 1.232528022149779)	(3.0, 0.7033447952485151)	(4.0, 0.46443084892600367)	(5.0, 0.5470459518599562)	(6.0, 0.4956906176037154)	(7.0, 0.4688965301656768)	(8.0, 0.3929799490912339)	(9.0, 0.5023891394632252)	('>10', 12.17567989996874)	('>50', 8.855445898271782)	('>100', 47.856473004956904)	('>500', 22.12745054258027)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873198_1	(1.0, 1.3302668806565296)	(2.0, 0.5460050629560383)	(3.0, 0.36234881450718903)	(4.0, 0.37062161849137143)	(5.0, 0.17372888366783037)	(6.0, 0.2283293899634342)	(7.0, 0.17372888366783037)	(8.0, 0.10589189099753471)	(9.0, 0.14891047171528315)	('>10', 3.5192508148711923)	('>50', 2.093019407998147)	('>100', 11.944274392362548)	('>500', 7.941891824815103)	('>1k', 47.77875213024703)	('>5k', 23.282979533082944)	('>10k+', 0.0)
SRR12873198_2	(1.0, 3.9378546964708216)	(2.0, 1.1019374906930957)	(3.0, 0.5559324277370572)	(4.0, 0.5691689141117491)	(5.0, 0.537732258971856)	(6.0, 0.36731249689769846)	(7.0, 0.4285312463806482)	(8.0, 0.3573851321166796)	(9.0, 0.3573851321166796)	('>10', 10.524661228676848)	('>50', 11.343668823110905)	('>100', 47.40151226856831)	('>500', 22.516917884147652)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873199_1	(1.0, 1.1806056236481615)	(2.0, 0.44160057678442677)	(3.0, 0.32444124008651765)	(4.0, 0.19826964671953856)	(5.0, 0.1802451333813987)	(6.0, 0.16222062004325882)	(7.0, 0.22080028839221338)	(8.0, 0.07209805335255948)	(9.0, 0.32444124008651765)	('>10', 2.8613914924297044)	('>50', 1.7371124729632301)	('>100', 15.699351117519827)	('>500', 4.974765681326604)	('>1k', 52.3071377072819)	('>5k', 19.315519105984137)	('>10k+', 0.0)
SRR12873199_2	(1.0, 4.307858687815429)	(2.0, 1.3157894736842104)	(3.0, 1.0138788752703676)	(4.0, 0.9372746935832732)	(5.0, 0.8561643835616438)	(6.0, 0.7975847152126893)	(7.0, 0.7885724585436192)	(8.0, 0.6669069935111751)	(9.0, 0.7705479452054794)	('>10', 17.63248017303533)	('>50', 11.53343547224225)	('>100', 39.53902307137707)	('>500', 19.84048305695746)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873200_1	(1.0, 1.247807905031701)	(2.0, 0.4923782544179145)	(3.0, 0.32881424524484015)	(4.0, 0.2360717658168083)	(5.0, 0.3203831107513827)	(6.0, 0.18211250505868068)	(7.0, 0.11803588290840415)	(8.0, 0.22932685822204235)	(9.0, 0.12140833670578711)	('>10', 3.5461351679481994)	('>50', 1.9897477404559556)	('>100', 13.334682314852287)	('>500', 9.29279643868879)	('>1k', 44.55517334412519)	('>5k', 24.005126129772023)	('>10k+', 0.0)
SRR12873200_2	(1.0, 4.807432888169432)	(2.0, 1.4366653176851478)	(3.0, 0.7891541885876164)	(4.0, 0.7689194658033185)	(5.0, 0.6829218939700527)	(6.0, 0.698097936058276)	(7.0, 0.6846081208687441)	(8.0, 0.553082422770808)	(9.0, 0.622217725617159)	('>10', 16.34459732901659)	('>50', 7.613314447592067)	('>100', 48.5144341022528)	('>500', 16.484554161607985)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873201_1	(1.0, 1.3193195088848908)	(2.0, 0.5491904175740934)	(3.0, 0.4450336142410757)	(4.0, 0.24618880787804187)	(5.0, 0.25250134141337627)	(6.0, 0.2556576081810435)	(7.0, 0.15465707161569295)	(8.0, 0.11362560363601933)	(9.0, 0.04260960136350724)	('>10', 3.0016096960515104)	('>50', 1.8038064577218067)	('>100', 9.344127765678756)	('>500', 10.04639712148471)	('>1k', 51.75330618943913)	('>5k', 20.671969194836347)	('>10k+', 0.0)
SRR12873201_2	(1.0, 4.003724394785848)	(2.0, 1.120474702521857)	(3.0, 0.5444560174225925)	(4.0, 0.4103146797967364)	(5.0, 0.5207840166650884)	(6.0, 0.5207840166650884)	(7.0, 0.40873654641290286)	(8.0, 0.404002146261402)	(9.0, 0.4545024145440773)	('>10', 8.379888268156424)	('>50', 11.110059022188555)	('>100', 52.29618407347789)	('>500', 19.826089701101537)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873202_1	(1.0, 1.0181196824605745)	(2.0, 0.5019401231711225)	(3.0, 0.2776690043074294)	(4.0, 0.22783097789327544)	(5.0, 0.20469189420098963)	(6.0, 0.24563027304118756)	(7.0, 0.149514079242462)	(8.0, 0.11391548894663772)	(9.0, 0.24029048449681392)	('>10', 2.5346196290626892)	('>50', 1.4346231889217187)	('>100', 11.163717916770496)	('>500', 5.382506852728632)	('>1k', 36.13256915026165)	('>5k', 14.529564629240681)	('>10k+', 25.84279662525364)
SRR12873202_2	(1.0, 3.9069452849667154)	(2.0, 1.1747534797622015)	(3.0, 0.7582499733010573)	(4.0, 0.5553380086148588)	(5.0, 0.4182834359759353)	(6.0, 0.3524260439286604)	(7.0, 0.3364066782955395)	(8.0, 0.35598590295824284)	(9.0, 0.43252287209426504)	('>10', 12.870670321455272)	('>50', 8.406607098358904)	('>100', 21.40009255633477)	('>500', 47.16991207148197)	('>1k', 1.86180627247161)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873203_1	(1.0, 1.1987675321757552)	(2.0, 0.48785184709696056)	(3.0, 0.3755175401996341)	(4.0, 0.26960233655358345)	(5.0, 0.15245370221780016)	(6.0, 0.1636871329075328)	(7.0, 0.15726802965625702)	(8.0, 0.08986744551786115)	(9.0, 0.11554385852296434)	('>10', 2.7971242417434286)	('>50', 1.5052797124241744)	('>100', 10.870751356035562)	('>500', 11.188496966973714)	('>1k', 54.28314664441377)	('>5k', 0.0)	('>10k+', 16.344641653561)
SRR12873203_2	(1.0, 3.934910293032064)	(2.0, 1.1008762075937992)	(3.0, 0.7269634432069839)	(4.0, 0.44291812433803)	(5.0, 0.4332894694611163)	(6.0, 0.28885964630741084)	(7.0, 0.4493372275893057)	(8.0, 0.4750136405944089)	(9.0, 0.3033026286227814)	('>10', 13.910196745514652)	('>50', 8.107327406361332)	('>100', 48.21709407195815)	('>500', 21.60991109541997)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873204_1	(1.0, 1.3590150749623642)	(2.0, 0.5361819719123136)	(3.0, 0.4021364789342352)	(4.0, 0.3134602297333526)	(5.0, 0.2577797941886123)	(6.0, 0.18560145181580087)	(7.0, 0.24540636406755892)	(8.0, 0.23097069559299663)	(9.0, 0.1113608710894805)	('>10', 2.767523870408942)	('>50', 2.5035573611598028)	('>100', 13.794312346621023)	('>500', 5.63609742013982)	('>1k', 52.54377100905323)	('>5k', 19.11282506032047)	('>10k+', 0.0)
SRR12873204_2	(1.0, 4.633849580334496)	(2.0, 1.1094842341877873)	(3.0, 0.6990988018395167)	(4.0, 0.6599162731228476)	(5.0, 0.5464931636798581)	(6.0, 0.5568043554474027)	(7.0, 0.6640407498298653)	(8.0, 0.4784392980140645)	(9.0, 0.7424058072632035)	('>10', 12.053783176259513)	('>50', 11.082468911756822)	('>100', 42.32950444412365)	('>500', 24.443711204140975)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873205_1	(1.0, 1.2746318950992601)	(2.0, 0.54208482895026)	(3.0, 0.3296461797670501)	(4.0, 0.32232070910556004)	(5.0, 0.22892095817156252)	(6.0, 0.17581129587576003)	(7.0, 0.19229360486411254)	(8.0, 0.16116035455278002)	(9.0, 0.11537616291846751)	('>10', 2.8587649256464727)	('>50', 2.6994359387590654)	('>100', 9.964471467291773)	('>500', 11.112738993480331)	('>1k', 54.11874587942276)	('>5k', 15.903596806094791)	('>10k+', 0.0)
SRR12873205_2	(1.0, 4.334847263936708)	(2.0, 1.2892828364222402)	(3.0, 0.8405977584059776)	(4.0, 0.6739433008570801)	(5.0, 0.6867628745146875)	(6.0, 0.54941029961175)	(7.0, 0.5127829463043)	(8.0, 0.52743388762728)	(9.0, 0.52743388762728)	('>10', 14.447659512123654)	('>50', 14.812101677532782)	('>100', 48.21807926159256)	('>500', 12.579664493443705)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
