Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR12873164_2	(1.0, 3.6160705497923264)	(2.0, 1.2440699986220745)	(3.0, 0.7204582586956949)	(4.0, 0.7007736068187634)	(5.0, 0.6594358378772072)	(6.0, 0.4606208539201984)	(7.0, 0.5236117399263794)	(8.0, 0.3149544300309049)	(9.0, 0.49605322729867524)	('>10', 13.358004763685754)	('>50', 6.600263774335151)	('>100', 10.409243912521408)	('>500', 33.0761205488081)	('>1k', 27.82031849766737)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873165_1	(1.0, 1.4007308160779537)	(2.0, 0.6011551608974107)	(3.0, 0.3713017170248713)	(4.0, 0.31432949589407094)	(5.0, 0.2848611056540018)	(6.0, 0.035362068288082985)	(7.0, 0.2887902243526777)	(8.0, 0.11001532356292483)	(9.0, 0.12376723900829044)	('>10', 3.3456445719225183)	('>50', 1.5205689363875683)	('>100', 13.465089780362266)	('>500', 8.209893520883266)	('>1k', 39.52693410867943)	('>5k', 30.401555931004676)	('>10k+', 0.0)
SRR12873165_2	(1.0, 4.204157007583199)	(2.0, 1.1355153039173314)	(3.0, 0.7484971120977565)	(4.0, 0.6443754665828454)	(5.0, 0.4813170405877962)	(6.0, 0.518643668225217)	(7.0, 0.45381320969706496)	(8.0, 0.48721071863580995)	(9.0, 0.3889827511689128)	('>10', 11.17637813838356)	('>50', 8.905347530548898)	('>100', 65.27641350045185)	('>500', 5.579348552119759)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873166_1	(1.0, 1.168584798280005)	(2.0, 0.5311749083090932)	(3.0, 0.3111167320096117)	(4.0, 0.24282281522701402)	(5.0, 0.20235234602251168)	(6.0, 0.16694068546857216)	(7.0, 0.10623498166181865)	(8.0, 0.24282281522701402)	(9.0, 0.04552927785506514)	('>10', 3.3236372834197545)	('>50', 2.44593398254711)	('>100', 14.141899582648287)	('>500', 3.3438725180220055)	('>1k', 39.62564815985835)	('>5k', 34.101429113443785)	('>10k+', 0.0)
SRR12873166_2	(1.0, 4.477045655748071)	(2.0, 1.5176425951688377)	(3.0, 1.3203490577968888)	(4.0, 1.1837612242316935)	(5.0, 0.9232325787277096)	(6.0, 0.7436448716327305)	(7.0, 0.77905653218667)	(8.0, 0.6677627418742886)	(9.0, 0.5918806121158467)	('>10', 20.356646009864676)	('>50', 11.888200328822563)	('>100', 30.54002782344758)	('>500', 22.44340457822183)	('>1k', 2.567345390160617)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873167_1	(1.0, 1.2092169657422511)	(2.0, 0.5057096247960848)	(3.0, 0.4221044045676998)	(4.0, 0.21207177814029365)	(5.0, 0.23450244698205547)	(6.0, 0.1468189233278956)	(7.0, 0.14274061990212072)	(8.0, 0.04893964110929853)	(9.0, 0.12846655791190864)	('>10', 3.3870309951060356)	('>50', 2.489804241435563)	('>100', 10.842169657422513)	('>500', 7.157422512234911)	('>1k', 52.858890701468184)	('>5k', 20.21411092985318)	('>10k+', 0.0)
SRR12873167_2	(1.0, 3.8152528548123983)	(2.0, 1.2479608482871127)	(3.0, 0.7891517128874388)	(4.0, 0.7014681892332789)	(5.0, 0.5607667210440457)	(6.0, 0.6729200652528547)	(7.0, 0.8564437194127243)	(8.0, 0.4404567699836868)	(9.0, 0.5689233278955954)	('>10', 15.870717781402938)	('>50', 10.091761827079933)	('>100', 30.01019575856444)	('>500', 23.50326264274062)	('>1k', 10.870717781402936)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873168_1	(1.0, 1.1740939275142013)	(2.0, 0.4800384030722458)	(3.0, 0.3000240019201536)	(4.0, 0.3120249619969598)	(5.0, 0.1600128010240819)	(6.0, 0.1320105608448676)	(7.0, 0.11200896071685736)	(8.0, 0.2560204816385311)	(9.0, 0.27002160172813827)	('>10', 3.266261300904073)	('>50', 0.9260740859268741)	('>100', 12.587006960556845)	('>500', 9.840787262981038)	('>1k', 47.96783742699416)	('>5k', 0.0)	('>10k+', 22.215777262180975)
SRR12873168_2	(1.0, 3.954316345307625)	(2.0, 1.0920873669893592)	(3.0, 0.7140571245699656)	(4.0, 0.5600448035842868)	(5.0, 0.580046403712297)	(6.0, 0.4800384030722458)	(7.0, 0.40603248259860786)	(8.0, 0.4000320025602048)	(9.0, 0.37803024241939354)	('>10', 15.027202176174093)	('>50', 8.998719897591807)	('>100', 29.940395231618528)	('>500', 35.18081446515721)	('>1k', 2.2881830546443718)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873169_1	(1.0, 1.1254789272030652)	(2.0, 0.5194518125552609)	(3.0, 0.3370910698496905)	(4.0, 0.19157088122605362)	(5.0, 0.11052166224580018)	(6.0, 0.22104332449160036)	(7.0, 0.14183613321544356)	(8.0, 0.14736221632773355)	(9.0, 0.1326259946949602)	('>10', 2.6046271735926907)	('>50', 2.4775272620100206)	('>100', 11.311892130857649)	('>500', 6.494989684644857)	('>1k', 44.47391688770999)	('>5k', 9.315134099616857)	('>10k+', 20.394930739758326)
