.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR12873164_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873165_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873165_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873166_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873166_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873167_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873167_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873168_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873168_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873169_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873169_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873170_1	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873170_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873171_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873171_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873172_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873172_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873173_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873173_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873174_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873174_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873175_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873175_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873176_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873176_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873177_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873177_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873178_1	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873178_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873179_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873179_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873180_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873180_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873181_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873181_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873182_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873182_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873183_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873183_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873184_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873184_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873185_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873185_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873186_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873186_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873187_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873187_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873188_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873188_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873189_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873189_2	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR12873190_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873190_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873191_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873191_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873192_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873192_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873193_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873193_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873194_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873194_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873195_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873195_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873196_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873196_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873197_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873197_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873198_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873198_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873199_1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
